Type,TC ID,Name / Title,Preconditions,Steps to be executed,Test Data,Expected results,Actual Results,Priority,Status,Requirement Traceability,Bugs Traceability,Test Type
GUI,FACEBOOK_Massaging_GUI_001,Check to ensure that there are labels and controls on all input fields and have good alignmet,"1- Open application successfully
2- Log in successfully
3- Home Page is opened","1- Go to the field of massanging
",-,The labes and controls are presented on good way.,The labes and controls are presented on good way.,High,Pass,FR 3: Massaging,,Manual
GUI,FACEBOOK_Massaging_GUI_002,Check the positioning of GUI elements for different screen resolution.,"1- Open application successfully
2- Log in successfully
3- Home Page is opened","1- Go to the field of massanging
",_,"Good user experience on the screen, with sizeable and obvious buttons.","Good user experience on the screen, with sizeable and obvious buttons.",High,Pass,FR 3: Massaging,,Manual
GUI,FACEBOOK_Massaging_GUI_003,The fields and icons should be alligned in a good way,"1- Open application successfully
2- Log in successfully
3- Home Page is opened","1- Go to the field of massanging
",_,The fields and icons need to be aligned properly.,The fields and icons need to be aligned properly.,High,Pass,FR 3: Massaging,,Manual
GUI,FACEBOOK_Massaging_GUI_004,Verify the color of the misspelt word with a red underline.,"1- Open application successfully
2- Log in successfully
3- Home Page is opened","1- Go to the field of massanging
",_,underline missspelling word with red line,underline missspelling word with red line,Medium,Pass,FR 3: Massaging,,Manual
GUI,FACEBOOK_Massaging_GUI_005,Check for Clear demarcation of different sections on screen,"1- Open application successfully
2- Log in successfully
3- Home Page is opened","1- Go to the field of massanging
",_,Clear demarcation of different sections on screen,Clear demarcation of different sections on screen,Medium,Pass,FR 3: Massaging,,Manual
GUI,FACEBOOK_Massaging_GUI_006,Check Font used in an application is readable,"1- Open application successfully
2- Log in successfully
3- Home Page is opened","1- Go to the field of massanging
",_,Readable Font ,Readable Font ,High,Pass,FR 3: Massaging,,Manual
GUI,FACEBOOK_Massaging_GUI_007,Verify the Screen contains Meaninful Icons,"1- Open application successfully
2- Log in successfully
3- Home Page is opened","1- Go to the field of massanging
",_,meaningful Icons,meaningful Icons,High,Pass,FR 3: Massaging,,Manual
GUI,FACEBOOK_Massaging_GUI_008,"Verify that the fonts, text color, and color coding in the Add Story screen is per standard","1- Open application successfully
2- Log in successfully
3- Home Page is opened","1- Go to the field of massanging
",-,"The fonts, text color, and color coding in the Add Story screen is per standard","The fonts, text color, and color coding in the Add Story screen is per standard",High,Pass,FR 3: Massaging,,Manual
Postive,FACEBOOK_Massaging_GUI_008,verify sending massage to Facebook Friends,"1- Open application successfully
2- Log in successfully
3- Home Page is opened","1.open messanger
2.Tap Search icon 
3.write Friend name
4.write message contant
5.Tap send","""hallo ,this my first messangt !""",Message should be sent successfully and should be visible in their conversation list.,Message should be sent successfully and should be visible in their conversation list.,High,Pass,FR 3: Massaging,,Manual
Postive,FACEBOOK_Massaging_GUI_009,Verify sending massage to other Facebook users,"1- Open application successfully
2- Log in successfully
3- Home Page is opened","1.open messanger
2.Tap Search icon 
3.write user name
4.write message contant
5.Tap send","""hallo ,this my first messangt !""",Message should be sent successfully and should be visible in their message request,Message should be sent successfully and should be visible in their message request,High,Pass,FR 3: Massaging,,Manual
Postive,FACEBOOK_Massaging_GUI_010,Verify receiving massage from Facebook friend ,"1- Open application successfully
2- Log in successfully
3- Home Page is opened",1.Open messanger,_,message should be should deliverd successfully and should be visible inconversation list,message should be should deliverd successfully and should be visible inconversation list,High,Pass,FR 3: Massaging,,Manual
Postive,FACEBOOK_Massaging_GUI_011,verify receiving massage from other Facebook users,"1- Open application successfully
2- Log in successfully
3- Home Page is opened",1.Open messanger,_,message should be should deliverd successfully and should be visible message request,message should be should deliverd successfully and should be visible message request,High,Pass,FR 3: Massaging,,Manual
Postive,FACEBOOK_Massaging_GUI_012,verify sending audio record to Facebook Friend,"1- Open application successfully
2- Log in successfully
3- Home Page is opened","1.open messanger
2.Tap Search icon 
3.write Friend name
4.record audio
5.Tap send",test audio record,Message should be sent successfully and should be visible in in conversation list,Message should be sent successfully and should be visible in in conversation list,High,Pass,FR 3: Massaging,,Manual
Postive,FACEBOOK_Massaging_GUI_013,verify sending audio record to other Facebook users,"1- Open application successfully
2- Log in successfully
3- Home Page is opened","1.open messanger
2.Tap Search icon 
3.write Facebook user name
4.record audio
5.Tap send",test audio record,Message should be sent successfully and should be visible in their message request,Message should be sent successfully and should be visible in their message request,High,Pass,FR 3: Massaging,,Manual
Postive,FACEBOOK_Massaging_GUI_014,verify receiving audio record from Facebook Friend,"1- Open application successfully
2- Log in successfully
3- Home Page is opened","1.open messenger 
2.Tap on Chat",_,message should be deliverd successfully and should be visible in conversation list,message should be deliverd successfully and should be visible in conversation list,High,Pass,FR 3: Massaging,,Manual
Postive,FACEBOOK_Massaging_GUI_015,verify receiving audio record from other Facebook users,"1- Open application successfully
2- Log in successfully
3- Home Page is opened","1.open messenger 
2.Tap on Chat",_,message should be should deliverd successfully and should be visible message request,message should be should deliverd successfully and should be visible message request,High,Pass,FR 3: Massaging,,Manual
Postive,FACEBOOK_Massaging_GUI_016,verify attaching photo/video ,"1- Open application successfully
2- Log in successfully
3- Home Page is opened","1.open messanger
2.Tap Search icon 
3.write Facebook user name
4.Tap on photo icon
5.select photo/video
6.Tap send",test video/photo,message should be deliverd successfully and should be visible in conversation list,message should be deliverd successfully and should be visible in conversation list,High,Pass,FR 3: Massaging,,Manual
Postive,FACEBOOK_Massaging_GUI_017,verify sending captured photo by camera,"1- Open application successfully
2- Log in successfully
3- Home Page is opened","1.open messanger
2.Tap Search icon 
3.write Facebook user name
4.Tap on photo icon
5.select photo/video
6.Tap send",test video/photo,message should be sent successfully and should be visible in conversation list,message should be sent successfully and should be visible in conversation list,High,Pass,FR 3: Massaging,,Manual
